occ_year,occ_hour,premises_type,age_cohort
2014,13,House,25 to 34
2014,22,Apartment,45 to 54
2013,12,Apartment,65 and above
2014,11,House,35 to 44
2014,10,Commercial,35 to 44
2014,10,House,25 to 34
2014,16,Apartment,45 to 54
2014,14,Apartment,35 to 44
2014,12,Educational,Not Recorded
2014,15,Apartment,65 and above
2014,11,Outside,25 to 34
2014,14,Apartment,65 and above
2014,18,House,18 to 24
2014,8,Outside,25 to 34
2014,1,Apartment,25 to 34
2014,17,Apartment,45 to 54
2014,20,Educational,18 to 24
2014,22,Other,55 to 64
2014,3,Apartment,45 to 54
2014,15,Other,18 to 24
2014,3,Commercial,35 to 44
2014,7,Other,55 to 64
2014,10,Apartment,55 to 64
2014,10,Other,55 to 64
2014,21,Transit,Not Recorded
2014,15,House,45 to 54
2014,15,House,Not Recorded
2014,10,House,25 to 34
2014,12,Educational,18 to 24
2014,22,Apartment,45 to 54
2014,19,Other,35 to 44
2014,11,Apartment,25 to 34
2014,20,House,35 to 44
2014,8,Apartment,55 to 64
2013,17,Other,25 to 34
2014,15,Apartment,65 and above
2014,12,Educational,18 to 24
2014,13,Other,35 to 44
2014,12,Commercial,35 to 44
2014,7,Commercial,25 to 34
2014,21,Other,35 to 44
2014,15,Other,35 to 44
2014,18,Apartment,25 to 34
2014,17,Apartment,35 to 44
2014,16,Other,65 and above
2014,4,House,45 to 54
2014,1,Apartment,25 to 34
2014,21,Apartment,35 to 44
2014,10,Apartment,25 to 34
2014,15,House,45 to 54
2014,7,House,25 to 34
2014,15,Apartment,45 to 54
2014,16,Apartment,55 to 64
2014,23,Apartment,45 to 54
2014,9,House,25 to 34
2014,1,Commercial,25 to 34
2014,13,Commercial,45 to 54
2014,2,Other,Not Recorded
2014,1,Outside,25 to 34
2014,16,Apartment,55 to 64
2014,11,Apartment,18 to 24
2014,1,Commercial,Not Recorded
2014,18,Apartment,35 to 44
2014,16,Other,18 to 24
2014,23,House,18 to 24
2014,8,Other,35 to 44
2014,3,Outside,55 to 64
2014,21,Apartment,18 to 24
2014,18,House,45 to 54
2014,23,House,18 to 24
2014,8,Transit,18 to 24
2014,12,Apartment,18 to 24
2014,15,Other,65 and above
2014,8,Other,65 and above
2014,11,House,18 to 24
2014,17,Other,65 and above
2014,15,Other,Not Recorded
2014,21,Apartment,55 to 64
2014,12,Apartment,45 to 54
2014,16,Other,55 to 64
2014,12,Other,18 to 24
2014,16,Other,Not Recorded
2014,12,Apartment,18 to 24
2014,23,Apartment,45 to 54
2014,7,Apartment,45 to 54
2014,11,House,25 to 34
2014,16,Other,65 and above
2014,10,Transit,25 to 34
2014,2,Outside,18 to 24
2014,11,Apartment,18 to 24
2014,10,Other,35 to 44
2014,8,Apartment,Not Recorded
2014,16,Other,55 to 64
2014,15,Apartment,35 to 44
2014,9,Apartment,65 and above
2014,15,Other,35 to 44
2014,5,Other,18 to 24
2014,15,Apartment,25 to 34
2014,4,Apartment,55 to 64
2014,14,Apartment,18 to 24
2013,22,Apartment,18 to 24
2014,12,Apartment,25 to 34
2014,15,Apartment,18 to 24
2014,14,Other,35 to 44
2014,19,Other,45 to 54
2014,12,Other,35 to 44
2014,13,Other,35 to 44
2014,7,Apartment,45 to 54
2014,1,House,25 to 34
2014,11,Other,25 to 34
2014,12,Apartment,55 to 64
2014,12,Transit,25 to 34
2014,21,Apartment,18 to 24
2014,23,Apartment,45 to 54
2014,16,Other,65 and above
2014,12,House,45 to 54
2014,16,Apartment,55 to 64
2014,19,Apartment,18 to 24
2014,1,Outside,45 to 54
2014,14,Apartment,25 to 34
2014,18,Educational,18 to 24
2014,16,House,55 to 64
2014,17,Commercial,45 to 54
2014,16,House,18 to 24
2014,22,Apartment,45 to 54
2014,20,House,45 to 54
2014,1,Other,35 to 44
2014,6,Outside,35 to 44
2014,16,Apartment,45 to 54
2014,22,House,25 to 34
2014,4,Apartment,25 to 34
2014,11,Apartment,25 to 34
2014,21,House,18 to 24
2014,22,House,55 to 64
2014,16,Other,55 to 64
2014,2,Apartment,35 to 44
2014,10,Apartment,35 to 44
2014,21,Apartment,45 to 54
2014,18,House,18 to 24
2014,10,Apartment,25 to 34
2014,3,Apartment,45 to 54
2014,19,Outside,25 to 34
2014,19,Apartment,45 to 54
2014,16,Transit,25 to 34
2014,16,House,Not Recorded
2014,9,Outside,25 to 34
2014,14,House,65 and above
2014,10,Apartment,45 to 54
2014,16,Transit,55 to 64
2014,15,Other,35 to 44
2014,8,Commercial,65 and above
2014,11,House,35 to 44
2014,15,Apartment,25 to 34
2014,19,House,18 to 24
2014,12,Apartment,65 and above
2014,16,Apartment,45 to 54
2014,7,Apartment,25 to 34
2014,2,Apartment,25 to 34
2014,9,Other,45 to 54
2014,9,House,45 to 54
2014,10,Apartment,25 to 34
2014,3,Apartment,25 to 34
2014,14,Educational,18 to 24
2014,15,Apartment,18 to 24
2014,13,Apartment,25 to 34
2014,17,Apartment,35 to 44
2014,17,Apartment,25 to 34
2014,15,House,45 to 54
2014,20,Outside,45 to 54
2014,22,House,25 to 34
2014,11,Transit,35 to 44
2014,16,House,25 to 34
